Assembly	ERR599127	ERR599128	ERR599131	ERR599132	ERR599149	ERR599152	ERR599154	ERR599159
# contigs (>= 0 bp)	40	38	31	80	116	34	79	143
# contigs (>= 1000 bp)	40	38	31	80	116	34	79	143
# contigs (>= 5000 bp)	7	8	1	27	19	6	9	21
# contigs (>= 10000 bp)	3	3	1	20	10	5	0	11
# contigs (>= 25000 bp)	2	0	0	9	2	2	0	8
# contigs (>= 50000 bp)	2	0	0	3	1	2	0	4
Total length (>= 0 bp)	578427	157808	68579	763146	440308	583567	189585	861087
Total length (>= 1000 bp)	578427	157808	68579	763146	440308	583567	189585	861087
Total length (>= 5000 bp)	521866	83449	21981	654987	270514	533177	55450	625135
Total length (>= 10000 bp)	493904	52296	21981	608010	211980	525817	0	551878
Total length (>= 25000 bp)	477175	0	0	421402	88106	477569	0	488922
Total length (>= 50000 bp)	477175	0	0	215041	59388	477569	0	338518
# contigs	40	38	31	80	116	34	79	143
Largest contig	421288	24602	21981	88575	59388	421278	8691	101607
Total length	578427	157808	68579	763146	440308	583567	189585	861087
GC (%)	45.76	56.87	44.00	52.24	49.55	45.82	60.19	55.63
N50	421288	5303	1814	29172	8901	421278	3235	39540
N90	5249	1802	1086	2807	1340	11985	1181	1676
auN	313264.5	9013.5	8314.9	35988.7	16339.5	311217.9	3555.7	44181.5
L50	1	8	6	8	11	1	19	7
L90	7	26	25	36	79	5	62	76
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
